Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,879,31-1-2024,772,AMS,BLR,CABIN0B,17
KL,661,27-2-2024,772,AMS,IAH,CABIN0E,53
KL,855,15-2-2024,772,AMS,ICN,CABIN0D,56
KL,835,28-2-2024,772,AMS,SIN,CABIN0E,35
KL,879,14-2-2024,772,AMS,BLR,CABIN0B,17
KL,855,14-1-2024,772,AMS,ICN,CABIN0B,20
KL,835,31-1-2024,772,SIN,DPS,CABIN0B,40
KL,661,7/2/2024,772,AMS,IAH,CABIN0B,18
KL,835,3/1/2024,772,AMS,DPS,CABIN0A,6
KL,855,8/2/2024,772,AMS,ICN,CABIN0B,37
KL,855,27-1-2024,772,AMS,ICN,CABIN0A,34
KL,835,8/1/2024,772,AMS,SIN,CABIN0E,46
KL,835,4/2/2024,772,AMS,DPS,CABIN0D,20
KL,835,13-3-2024,772,SIN,DPS,CABIN0B,39
KL,855,30-3-2024,772,AMS,ICN,CABIN0B,32
KL,661,29-3-2024,772,AMS,IAH,CABIN0B,34
KL,855,14-2-2024,772,AMS,ICN,CABIN0E,73
KL,835,7/2/2024,772,SIN,DPS,CABIN0E,74
KL,661,10/1/2024,772,AMS,IAH,CABIN0C,115
KL,835,14-2-2024,772,AMS,SIN,CABIN0C,68
KL,855,31-1-2024,772,AMS,ICN,CABIN0B,27
KL,835,6/3/2024,772,AMS,SIN,CABIN0A,24
KL,855,23-2-2024,772,AMS,ICN,CABIN0C,108
KL,855,21-1-2024,772,AMS,ICN,CABIN0E,65
KL,835,15-1-2024,772,AMS,DPS,CABIN0C,30
KL,835,24-1-2024,772,AMS,DPS,CABIN0D,40
KL,835,15-1-2024,772,SIN,DPS,CABIN0A,16
KL,855,29-1-2024,772,AMS,ICN,CABIN0E,74
KL,835,15-1-2024,772,AMS,DPS,CABIN0A,12
KL,835,10/1/2024,772,SIN,DPS,CABIN0E,71
KL,855,17-1-2024,772,AMS,ICN,CABIN0E,67
KL,835,17-1-2024,772,AMS,SIN,CABIN0C,53
KL,661,23-3-2024,772,AMS,IAH,CABIN0D,56
KL,835,1/4/2024,77W,SIN,DPS,CABIN0F,62
KL,871,28-2-2024,77W,AMS,DEL,CABIN0G,58
KL,835,18-3-2024,77W,SIN,DPS,CABIN0D,54
KL,871,20-3-2024,77W,AMS,DEL,CABIN0C,45
KL,835,30-3-2024,77W,AMS,DPS,CABIN0A,6
KL,835,5/3/2024,77W,AMS,DPS,CABIN0D,39
KL,835,19-3-2024,77W,AMS,SIN,CABIN0G,10
KL,835,9/3/2024,77W,SIN,DPS,CABIN0C,56
KL,871,11/3/2024,77W,AMS,DEL,CABIN0F,53
KL,871,27-1-2024,77W,AMS,DEL,CABIN0A,35
KL,835,12/1/2024,77W,SIN,DPS,CABIN0D,40
KL,835,26-1-2024,77W,AMS,SIN,CABIN0D,37
KL,871,25-3-2024,77W,AMS,DEL,CABIN0A,28
KL,871,30-3-2024,77W,AMS,DEL,CABIN0A,34
KL,871,3/1/2024,77W,AMS,DEL,CABIN0G,62
KL,835,12/3/2024,77W,SIN,DPS,CABIN0F,62
KL,835,19-2-2024,77W,AMS,SIN,CABIN0D,46
KL,871,13-1-2024,77W,AMS,DEL,CABIN0F,60
KL,835,20-1-2024,77W,SIN,DPS,CABIN0D,60
KL,871,9/1/2024,77W,AMS,DEL,CABIN0F,62
KL,871,6/3/2024,77W,AMS,DEL,CABIN0A,35
KL,835,12/3/2024,77W,AMS,SIN,CABIN0C,37
KL,835,9/2/2024,77W,SIN,DPS,CABIN0D,74
KL,835,31-3-2024,77W,AMS,DPS,CABIN0A,6
KL,835,22-3-2024,77W,SIN,DPS,CABIN0D,71
KL,871,23-1-2024,77W,AMS,DEL,CABIN0G,63
KL,835,12/3/2024,77W,AMS,DPS,CABIN0B,10
KL,871,17-2-2024,77W,AMS,DEL,CABIN0G,64
KL,835,26-2-2024,77W,AMS,DPS,CABIN0E,25
KL,835,1/4/2024,77W,AMS,DPS,CABIN0B,10
KL,835,2/2/2024,77W,AMS,DPS,CABIN0A,9
KL,835,23-1-2024,77W,AMS,SIN,CABIN0C,24
KL,835,17-2-2024,77W,AMS,DPS,CABIN0E,30
KL,871,7/2/2024,77W,AMS,DEL,CABIN0G,64
KL,871,21-2-2024,77W,AMS,DEL,CABIN0A,35
KL,871,6/1/2024,77W,AMS,DEL,CABIN0A,34
KL,835,29-3-2024,77W,AMS,SIN,CABIN0E,31
KL,835,11/2/2024,77W,SIN,DPS,CABIN0B,24
KL,835,1/3/2024,77W,AMS,SIN,CABIN0B,22
KL,835,19-1-2024,77W,AMS,SIN,CABIN0D,41
KL,835,2/2/2024,77W,AMS,SIN,CABIN0F,22
KL,835,6/2/2024,77W,SIN,DPS,CABIN0A,35
KL,835,13-1-2024,77W,SIN,DPS,CABIN0B,5
KL,835,2/1/2024,77W,SIN,DPS,CABIN0D,25
KL,835,12/1/2024,77W,AMS,SIN,CABIN0B,14
KL,835,13-2-2024,77W,SIN,DPS,CABIN0D,77
KL,835,20-3-2024,77W,AMS,SIN,CABIN0D,42
KL,871,10/1/2024,77W,AMS,DEL,CABIN0D,61
KL,835,21-3-2024,77W,AMS,DPS,CABIN0B,10
KL,835,13-1-2024,77W,SIN,DPS,CABIN0F,48
KL,835,1/4/2024,77W,SIN,DPS,CABIN0A,17
KL,835,16-1-2024,77W,AMS,DPS,CABIN0G,41
KL,835,8/3/2024,77W,AMS,SIN,CABIN0F,33
KL,835,12/3/2024,77W,SIN,DPS,CABIN0A,24
KL,835,18-2-2024,77W,SIN,DPS,CABIN0A,22
KL,835,29-1-2024,77W,SIN,DPS,CABIN0D,65
KL,601,29-1-2024,77W,AMS,LAX,CABIN0C,42
KL,835,11/3/2024,77W,AMS,SIN,CABIN0B,18
KL,835,25-3-2024,77W,AMS,DPS,CABIN0C,38
KL,835,9/3/2024,77W,AMS,SIN,CABIN0G,20
KL,835,30-3-2024,77W,AMS,SIN,CABIN0F,22
KL,835,23-2-2024,77W,SIN,DPS,CABIN0G,63
KL,835,6/1/2024,77W,AMS,DPS,CABIN0B,8
KL,835,31-3-2024,77W,SIN,DPS,CABIN0B,24
KL,835,1/3/2024,77W,SIN,DPS,CABIN0A,18
KL,835,20-2-2024,77W,SIN,DPS,CABIN0G,55
KL,835,26-2-2024,77W,AMS,SIN,CABIN0G,32
KL,835,31-3-2024,77W,AMS,SIN,CABIN0F,16
KL,835,23-1-2024,77W,AMS,DPS,CABIN0C,24
KL,871,10/2/2024,77W,AMS,DEL,CABIN0A,35
KL,871,21-2-2024,77W,AMS,DEL,CABIN0F,62
KL,835,20-2-2024,77W,AMS,SIN,CABIN0E,29
KL,835,2/2/2024,77W,SIN,DPS,CABIN0B,13
KL,835,1/3/2024,77W,AMS,SIN,CABIN0C,43
